contrast,model_key,source_file,interpretation,reproduce_command,availability,row_type,accuracy,balanced_accuracy,roc_auc,pr_auc,brier_score,sensitivity,specificity
a_ml_psd_wpli_baseline,ML PSD+WPLI Logistic L1,paper_locked_model_performance.csv,"Traditional PSD+WPLI baseline; no CNN, no SSL, no residual-aware objectives.",python -B scripts/04_train_ml_baselines.py --feature-set psd-fc-wpli --disable-selector --output-tag updated_sub05_sub28_psdfcwpli_no_selector,available,reported,0.7368421052631579,0.7333333333333334,0.7111111111111112,0.7754058441558441,0.2080008975512415,0.8,0.6666666666666666
b_no_ssl_cnn_same_arch_10seed,No-SSL CNN same architecture,updated_sub05_sub28_no_ssl_exact6cfg_standard10_summary.csv,"CNN architecture contribution over traditional ML, using the standard 10-seed set shared by the Barlow CNN comparison.",python -B scripts/05_train_supervised_loso.py --architecture multimodal --feature-kind psd-fc-wpli --fusion gated --encoder cnn --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.7631578947368421,0.7566666666666666,0.7733333333333333,0.7534506180094416,0.1983257024934373,0.8800000000000001,0.6333333333333334
b_no_ssl_cnn_same_arch_10seed,No-SSL CNN same architecture,updated_sub05_sub28_no_ssl_exact6cfg_standard10_summary.csv,"CNN architecture contribution over traditional ML, using the standard 10-seed set shared by the Barlow CNN comparison.",python -B scripts/05_train_supervised_loso.py --architecture multimodal --feature-kind psd-fc-wpli --fusion gated --encoder cnn --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.100015388166591,0.1000617093548393,0.0879892748171799,0.1016793993267506,0.0366900220058003,0.1032795558988644,0.1054092553389459
b_no_ssl_cnn_same_arch_10seed,No-SSL CNN same architecture,updated_sub05_sub28_no_ssl_exact6cfg_standard10_summary.csv,"CNN architecture contribution over traditional ML, using the standard 10-seed set shared by the Barlow CNN comparison.",python -B scripts/05_train_supervised_loso.py --architecture multimodal --feature-kind psd-fc-wpli --fusion gated --encoder cnn --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.5789473684210527,0.5722222222222222,0.6666666666666667,0.6149342324342324,0.1499577243716477,0.7,0.4444444444444444
b_no_ssl_cnn_same_arch_10seed,No-SSL CNN same architecture,updated_sub05_sub28_no_ssl_exact6cfg_standard10_summary.csv,"CNN architecture contribution over traditional ML, using the standard 10-seed set shared by the Barlow CNN comparison.",python -B scripts/05_train_supervised_loso.py --architecture multimodal --feature-kind psd-fc-wpli --fusion gated --encoder cnn --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8947368421052632,0.8888888888888888,0.8777777777777779,0.8967388167388167,0.2602619659685977,1.0,0.7777777777777778
b_no_ssl_cnn_same_arch_10seed,No-SSL CNN same architecture,updated_sub05_sub28_no_ssl_exact6cfg_standard10_summary.csv,"CNN architecture contribution over traditional ML, using the standard 10-seed set shared by the Barlow CNN comparison.",python -B scripts/05_train_supervised_loso.py --architecture multimodal --feature-kind psd-fc-wpli --fusion gated --encoder cnn --seeds 0 1 2 3 4 5 7 13 21 42,available,seedmean10,0.7894736842105263,0.7833333333333333,0.7888888888888889,0.7936002886002885,0.1861443233252156,0.9,0.6666666666666666
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow CNN without residual-aware heads,barlow_cnn_10seed_summary.csv; barlow_cnn_10seed_seedmean_metrics.csv,"Patient-level Barlow SSL contribution before residual-aware auxiliary training, using the standard 10-seed set.",python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.7894736842105263,0.7822222222222222,0.7766666666666666,0.7531732711732712,0.1977578132842526,0.92,0.6444444444444444
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow CNN without residual-aware heads,barlow_cnn_10seed_summary.csv; barlow_cnn_10seed_seedmean_metrics.csv,"Patient-level Barlow SSL contribution before residual-aware auxiliary training, using the standard 10-seed set.",python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.0350877192982456,0.0343267603280992,0.0540410858280623,0.0804253921883699,0.0137103491854938,0.0632455532033675,0.0468485579284204
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow CNN without residual-aware heads,barlow_cnn_10seed_summary.csv; barlow_cnn_10seed_seedmean_metrics.csv,"Patient-level Barlow SSL contribution before residual-aware auxiliary training, using the standard 10-seed set.",python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.7368421052631579,0.7277777777777779,0.6888888888888889,0.6307034632034632,0.1833985683756124,0.8,0.5555555555555556
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow CNN without residual-aware heads,barlow_cnn_10seed_summary.csv; barlow_cnn_10seed_seedmean_metrics.csv,"Patient-level Barlow SSL contribution before residual-aware auxiliary training, using the standard 10-seed set.",python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8421052631578947,0.8333333333333333,0.8444444444444446,0.8696503496503496,0.2259836029543456,1.0,0.6666666666666666
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow CNN without residual-aware heads,barlow_cnn_10seed_summary.csv; barlow_cnn_10seed_seedmean_metrics.csv,"Patient-level Barlow SSL contribution before residual-aware auxiliary training, using the standard 10-seed set.",python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,seedmean10,0.8421052631578947,0.8333333333333333,0.7222222222222223,0.6504836829836831,0.1896007402631482,1.0,0.6666666666666666
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.8157894736842106,0.8122222222222222,0.8988888888888888,0.9084416416916417,0.1304241654363616,0.8800000000000001,0.7444444444444445
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.0447282413473051,0.0436503126476624,0.0472712164137392,0.0524721292550852,0.0297694204887391,0.0788810637746615,0.0536717657266275
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.7368421052631579,0.7333333333333334,0.8111111111111111,0.807983682983683,0.0799961509697407,0.8,0.6666666666666666
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8947368421052632,0.8888888888888888,0.9666666666666668,0.9769230769230768,0.1766781979022564,1.0,0.7777777777777778
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,seedmean10,0.8947368421052632,0.8888888888888888,0.9222222222222224,0.9272546897546896,0.1104828985960199,1.0,0.7777777777777778
e_patient_barlow_ssl_residual_heads,Patient-level Barlow SSL + residual-aware auxiliary heads,patient_barlow_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Final combined SSL plus residual-aware training contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.8368421052631578,0.8305555555555555,0.86,0.8584921744921743,0.1415899918315827,0.95,0.711111111111111
